date,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m
2019-01-02,299.1605224609375,293.1007995605469,101688.84375,288.7256164550781,0.010203689336776733,-0.679318904876709,-0.11336318403482437
2019-01-03,297.47747802734375,292.9638366699219,101779.0546875,288.55560302734375,0.0003294963389635086,-2.347510576248169,-2.6017208099365234
2019-01-04,297.44403076171875,292.8941955566406,101680.9296875,288.99859619140625,8.808635175228119e-05,0.65436190366745,-3.1840403079986572
2019-01-05,301.66986083984375,294.97686767578125,101247.4921875,289.781982421875,0.0036373641341924667,2.2671663761138916,-1.7653805017471313
2019-01-06,300.48260498046875,293.8595886230469,101266.8125,288.3921203613281,0.006053108721971512,-0.563685953617096,-2.1343624591827393
2019-01-07,297.5408935546875,292.9977722167969,101327.96875,289.4492492675781,0.002876901999115944,-0.6479368805885315,-2.7302331924438477
2019-01-08,299.74591064453125,292.9833984375,101027.65625,288.224365234375,0.011726131662726402,1.078622579574585,-1.5253219604492188
2019-01-09,301.5750732421875,295.31024169921875,100925.2265625,287.42950439453125,0.0010188575834035873,0.22729022800922394,-1.5881701707839966
2019-01-10,299.4462585449219,294.3451843261719,100975.7890625,290.0281982421875,0.0043673329055309296,1.064801573753357,-2.6646573543548584
2019-01-11,302.65289306640625,296.2281799316406,100843.6875,290.4248962402344,0.00043174251914024353,1.829148292541504,-2.6740849018096924
2019-01-12,303.34564208984375,297.0013122558594,100845.8046875,289.9479675292969,1.0211020708084106e-05,1.3701133728027344,-0.987957775592804
2019-01-13,303.121337890625,297.0584716796875,101019.2265625,291.4505920410156,0.00011126324534416199,1.5530834197998047,-1.9251351356506348
2019-01-14,303.1531982421875,296.2352600097656,101162.3125,291.39752197265625,0.004180788062512875,0.21534337103366852,-1.9696027040481567
2019-01-15,304.51849365234375,297.0892639160156,101149.6953125,290.5762023925781,3.11434268951416e-06,0.07229182869195938,-0.8515836596488953
2019-01-16,302.3099060058594,296.2250671386719,101321.8046875,290.3352966308594,0.00037914328277111053,-2.3544888496398926,-0.9916718006134033
2019-01-17,301.3489074707031,294.30218505859375,101330.9375,289.5408630371094,0.0028787702322006226,-0.9897873997688293,-1.0700476169586182
2019-01-18,303.1416931152344,296.5368957519531,101069.6875,288.5186767578125,0.00030894577503204346,1.2702778577804565,-1.354117751121521
2019-01-19,302.7207946777344,296.0597229003906,101252.96875,288.529541015625,6.5229833126068115e-06,0.6775761246681213,2.6063382625579834
2019-01-20,297.2383728027344,291.5010070800781,102075.8046875,286.7013244628906,5.37727028131485e-05,-3.913184404373169,-0.03365083411335945
2019-01-21,300.6409912109375,292.6721496582031,101886.0859375,284.72601318359375,0.0,-1.7196096181869507,-0.5399072766304016
2019-01-22,303.67578125,295.646728515625,101370.90625,285.7237548828125,0.0,-0.670127809047699,-0.20503373444080353
2019-01-23,304.427001953125,297.4335021972656,101085.5,288.8431396484375,1.584552228450775e-05,0.12973158061504364,-0.8646828532218933
2019-01-24,303.77410888671875,297.5194396972656,101103.4375,291.8588562011719,0.0006198249757289886,-1.1302616596221924,-1.8695725202560425
2019-01-25,302.6544189453125,294.97247314453125,101354.1796875,289.8245544433594,0.011196330189704895,1.3598963022232056,-2.8852927684783936
2019-01-26,300.6932373046875,292.7191467285156,101577.9140625,287.9089660644531,0.014080509543418884,0.17821212112903595,-2.4728586673736572
2019-01-27,297.3109130859375,291.2937927246094,101824.9375,287.94110107421875,0.014271048828959465,-1.2902246713638306,-3.0942208766937256
2019-01-28,296.10003662109375,291.2995300292969,101844.7421875,287.3691711425781,0.0008462090045213699,-0.6309848427772522,-2.9835798740386963
2019-01-29,296.7113037109375,291.6146545410156,101842.5546875,286.99365234375,3.7264078855514526e-05,0.29982393980026245,-3.003857374191284
2019-01-30,300.0330810546875,293.6257629394531,101537.7421875,288.31549072265625,0.0007347911596298218,1.270287275314331,-0.5163717865943909
2019-01-31,300.8321533203125,294.579345703125,101452.5859375,288.5436706542969,0.0004077106714248657,0.9975177645683289,-0.3495040833950043
2019-02-01,295.00665283203125,291.30352783203125,101914.7109375,289.1391296386719,0.011912968009710312,-1.9308899641036987,0.036286983639001846
2019-02-02,294.0900573730469,291.3262634277344,101864.1328125,288.483154296875,0.0020572859793901443,0.3646511137485504,-1.4672904014587402
2019-02-03,297.623291015625,293.1729431152344,101486.8046875,289.4927978515625,0.00515381433069706,0.7962067127227783,-2.5195271968841553
2019-02-04,297.6248474121094,292.73492431640625,101420.3125,287.90960693359375,0.001869305968284607,1.8674001693725586,-2.1488051414489746
2019-02-05,297.6216735839844,292.2494201660156,101701.84375,287.2877502441406,0.0011636260896921158,-1.6882706880569458,-1.7509618997573853
2019-02-06,298.0238342285156,293.2059020996094,101669.8203125,288.2879943847656,0.0004235804080963135,0.40794193744659424,-1.39877450466156
2019-02-07,300.51220703125,294.4955139160156,101616.6171875,289.45269775390625,0.0012240074574947357,-0.3471609652042389,-1.4814797639846802
2019-02-08,299.280517578125,294.4374084472656,101640.8359375,289.9721984863281,0.002851434051990509,1.1613062620162964,-0.6182885766029358
2019-02-09,301.9920959472656,296.0233154296875,101370.7265625,290.567138671875,0.0005472321063280106,-1.5000962018966675,-0.23635917901992798
