date,no2,tropospheric_no2,o3
2021-02-23,7.858303375590305e-05,4.6148823455712125e-05,0.11638151148801891
2021-02-24,9.162288750669217e-05,,0.11981015581174931
2021-02-25,5.296799926729098e-05,,0.11834420667768818
2021-02-26,7.138966164372919e-05,,0.11840066570462202
2021-02-27,0.0001252700288606286,,0.11692583128874896
2021-02-28,0.00020841956532972062,0.00016727898667092626,0.11917527833844872
2021-03-01,0.00018170104943020173,0.00013902054296723607,0.1175376296064905
2021-03-02,0.00011340761309232645,,0.11671914738607281
2021-03-03,0.00016086517810686264,0.0001103805282635946,0.11657639230707893
2021-03-04,0.0002111016705055499,,0.11894022919879056
2021-03-05,0.00012036024262515173,5.209728404382941e-05,0.11902269795040592
2021-03-06,6.845247949183042e-05,,0.11801292264314875
2021-03-07,6.34795074224402e-05,1.3148709366126249e-05,0.11745767895733726
2021-03-08,5.944630701967981e-05,2.7956713812654535e-05,0.11960370970349292
2021-03-09,8.507405037681269e-05,7.327199804792336e-05,0.11743469384952489
2021-03-10,6.123978541145322e-05,2.314310872677843e-05,0.1164642485271971
2021-03-11,7.498443257040262e-05,3.0242225113956064e-05,0.11731373251951012
2021-03-12,0.00011853797882288853,6.835017546337394e-05,0.11930074961751591
2021-03-13,0.00015745577113331622,5.89089051417319e-05,0.12020067854227184
2021-03-14,0.00015651998790555089,0.00011509386303657759,0.11656851283826912
2021-03-15,9.717983352269486e-05,,0.11861031700551357
2021-03-16,0.00018355965032982392,,0.11789946062538725
2021-03-17,7.138531658253887e-05,,0.1193713243688776
2021-03-18,9.076679557379061e-05,4.044299685792783e-05,0.1163313130047296
2021-03-19,0.00012223569006162242,,0.11765572011163127
2021-03-20,8.866014614270988e-05,3.9697229185152474e-05,0.12131460784210892
2021-03-21,7.017743101407037e-05,,0.11769224178600105
2021-03-22,0.00011189918846462488,5.924549652496429e-05,0.11871111003019204
2021-03-23,0.00012488861637110411,,0.11899015902170346
2021-03-24,7.77432261908261e-05,,0.11959405346995884
2021-03-25,7.032809228179907e-05,2.1800386049269884e-05,0.11831209818960098
2021-03-26,7.926477461932117e-05,3.8012870654604715e-05,0.11760130804945743
2021-03-27,5.18537500806452e-05,,0.11567221243433325
2021-03-28,0.0002544870009563278,,0.11926887908756624
2021-03-29,7.612139927431156e-05,5.788449465477991e-05,0.12163557950378852
2021-03-30,9.206386408013098e-05,,0.12231556716150424
2021-03-31,0.00010944148601168248,,0.11972050793961812
2021-04-01,0.00012440027201239383,,0.11913460503190348
2021-04-02,4.662046551364719e-05,,0.11810472624191085
2021-04-03,8.085233148850576e-05,4.073226781586928e-05,0.1190124920416686
2021-04-04,6.879091277904177e-05,2.539456805053031e-05,0.11894559023255792
2021-04-05,0.00014729787420187184,0.00010755187725275804,0.11855472124133667
2021-04-06,0.00020935954131672834,,0.11598317231904876
2021-04-07,5.258695134186932e-05,,0.117152943557357
2021-04-08,0.00040397383622137786,0.00030585649059482103,0.11656722030916639
2021-04-09,0.00011761471768281293,7.542461407007684e-05,0.11591463205605512
2021-04-10,0.000332166820357289,0.00029148106330607936,0.11237623282889449
2021-04-11,0.0001389403179398768,9.74984620129982e-05,0.11366506232183007
2021-04-12,0.0002994446491253864,0.0002564948841338724,0.11335072143531695
2021-04-13,0.0002469988055752977,0.0002081664781337782,0.11412295819531036
2021-04-14,0.00022839895514506424,0.0001638806715625412,0.11195634794283575
2021-04-15,0.00011793651804790249,,0.11317492930093306
2021-04-16,0.00019823329719789368,0.00014914092693259307,0.11821485493525001
2021-04-17,8.391683304979657e-05,,0.12045389855683887
2021-04-18,0.00020946757668944052,0.00016867874107589454,0.11890006231631511
2021-04-19,0.00012906845771355218,9.037138563121505e-05,0.11692742991053627
2021-04-20,0.00030850527219419626,0.0002694325355388939,0.11556080467575114
2021-04-21,0.00011926707815042886,6.467535865977714e-05,0.11809027593133321
2021-04-22,0.00015587587525425867,8.198303251714889e-05,0.12174168593203753
2021-04-23,5.5033553966253274e-05,1.6195487430114615e-05,0.12452859552558647
2021-04-24,6.996543980207808e-05,2.9743814433228716e-05,0.1207271491735635
2021-04-25,0.00043198648385175443,0.0003890535942144057,0.11383959504735103
2021-04-26,0.00013537701779769363,9.031032315890859e-05,0.11050452064686442
